f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,class
1.264,0.137,-3.317,-0.101,2.065,1.279,2.771,4.408,2.112,1.432,1.261,-0.487,-2.962,0.493,2.251,1.570,NoTouching
0.672,-1.906,-1.908,1.567,1.742,1.462,4.029,3.000,1.482,1.491,0.832,-1.839,-1.857,1.804,2.061,1.712,NoTouching
-2.779,0.830,2.155,1.405,3.413,3.234,1.677,1.479,1.200,-0.569,-2.478,0.627,2.346,1.522,2.778,4.308,NoTouching
-0.032,0.074,0.096,-0.053,0.035,0.043,0.018,0.049,0.083,0.109,0.134,0.175,0.166,0.191,0.180,0.165,NoTouching
0.191,0.169,0.196,0.179,0.196,0.010,0.177,0.032,0.196,0.223,0.230,0.167,0.225,0.200,0.274,0.181,NoTouching
0.178,0.237,0.111,0.209,0.139,0.074,0.077,0.155,0.168,0.118,0.189,0.144,0.200,0.150,0.154,0.169,NoTouching
0.173,0.220,0.141,0.147,0.121,0.194,0.230,0.173,0.227,0.185,0.176,0.214,0.200,0.205,0.218,0.210,NoTouching
0.150,0.218,0.174,0.106,0.144,0.042,0.086,0.170,0.203,0.178,0.191,0.221,0.218,0.223,0.222,0.228,NoTouching
0.143,0.225,0.110,0.169,0.205,0.133,0.184,0.197,0.184,0.193,0.204,0.200,0.206,0.218,0.205,0.125,NoTouching
0.228,0.256,0.235,0.234,0.111,0.203,0.198,0.165,0.229,0.223,0.263,0.191,0.245,0.218,0.198,0.246,NoTouching
