f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,class
-65.709,49.581,-98.056,0.362,0.204,0.219,0.355,0.202,0.204,1.000,6.000,0.000,0.154,-0.298,-0.366,1.282,1.851,1.508,Touching
-74.652,62.608,-84.648,0.329,0.116,0.303,0.302,0.115,0.279,3.000,2.000,4.000,0.427,0.108,-0.271,1.678,4.592,1.873,Touching
-16.915,65.570,-126.980,0.194,0.087,0.162,0.139,0.076,0.121,2.000,0.000,0.000,-1.352,0.595,1.585,3.112,3.991,4.216,Touching
-74.648,86.594,-54.893,0.314,0.122,0.376,0.279,0.120,0.347,7.000,0.000,4.000,0.483,0.159,-0.399,1.718,2.422,1.525,Touching
-94.543,77.926,-44.967,0.286,0.148,0.275,0.269,0.140,0.233,6.000,0.000,5.000,0.981,1.219,-1.139,2.490,3.693,2.706,Touching
-80.400,60.489,-77.349,0.356,0.122,0.301,0.315,0.110,0.266,4.000,0.000,0.000,0.570,1.235,-0.581,1.557,3.592,1.601,Touching
-81.713,15.246,-100.455,0.363,0.096,0.299,0.341,0.094,0.287,5.000,4.000,0.000,0.379,-0.632,-0.238,1.418,4.085,1.245,Touching
-81.369,77.879,-54.928,0.275,0.327,0.165,0.253,0.327,0.159,2.000,2.000,0.000,0.482,0.188,-0.496,1.958,1.607,1.892,Touching
-81.750,37.410,-73.559,0.367,0.423,0.233,0.351,0.413,0.225,6.000,5.000,0.000,0.322,0.183,-0.412,1.413,1.326,1.804,Touching
-88.698,67.258,-54.662,0.376,0.193,0.307,0.340,0.186,0.273,8.000,0.000,4.000,0.519,0.739,-0.594,1.557,2.751,1.631,Touching
-41.627,86.656,-95.924,0.056,0.233,0.247,0.056,0.233,0.232,0.000,0.000,1.000,-0.079,-0.074,1.750,2.498,1.981,5.299,NoTouching
-54.158,128.821,-33.713,0.066,0.112,0.235,0.064,0.112,0.226,0.000,0.000,2.000,-0.549,0.536,0.834,3.200,4.365,2.592,NoTouching
-46.512,120.025,0.668,0.055,0.166,0.426,0.055,0.161,0.424,0.000,0.000,3.000,0.421,-0.425,0.093,2.204,2.269,2.011,NoTouching
-34.714,130.348,56.747,0.078,0.162,0.215,0.077,0.162,0.215,1.000,0.000,3.000,-0.198,0.044,-0.247,2.571,2.641,2.284,NoTouching
-42.196,117.110,72.123,0.066,0.145,0.255,0.066,0.145,0.255,0.000,0.000,0.000,0.401,0.267,0.071,2.361,2.087,1.694,NoTouching
-33.825,70.450,-95.442,0.106,0.285,0.381,0.099,0.272,0.340,1.000,2.000,2.000,-0.650,0.427,0.854,2.261,1.781,2.278,NoTouching
-38.454,105.368,-90.977,0.063,0.188,0.214,0.062,0.187,0.209,0.000,0.000,2.000,0.728,0.314,0.605,2.861,2.523,2.933,NoTouching
-31.632,80.826,-113.778,0.047,0.179,0.134,0.044,0.170,0.133,2.000,0.000,0.000,1.375,1.178,1.040,4.707,4.440,4.026,NoTouching
